k,f1_score
3,0.7551020408163265
3,0.7880299251870324
3,0.782608695652174
3,0.8029197080291971
3,0.7872860635696821
3,0.7841191066997518
3,0.7961165048543689
3,0.8252427184466019
3,0.7305699481865285
3,0.7493540051679587
3,0.7960687960687961
3,0.800982800982801
3,0.8210023866348448
3,0.7704081632653061
3,0.8009950248756219
3,0.7780548628428927
3,0.7772277227722773
3,0.831353919239905
3,0.7890818858560794
3,0.7324675324675325
3,0.77
3,0.7525252525252525
3,0.7480519480519481
3,0.8162291169451074
3,0.7611940298507462
3,0.7931034482758621
3,0.7980295566502463
3,0.7467362924281984
3,0.8368794326241135
3,0.7980295566502463
5,0.8211382113821138
5,0.7800829875518672
5,0.7627118644067796
5,0.8192771084337349
5,0.7918367346938775
5,0.773109243697479
5,0.8433734939759037
5,0.7950819672131147
5,0.7603305785123967
5,0.7951807228915663
5,0.824
5,0.8097165991902834
5,0.8433734939759037
5,0.768595041322314
5,0.7148936170212766
5,0.7248908296943232
5,0.7883817427385892
5,0.8503937007874016
5,0.8145161290322581
5,0.792
5,0.7983870967741935
5,0.7983539094650206
5,0.7679324894514767
5,0.7768595041322314
5,0.8273092369477911
5,0.7932489451476793
5,0.7800829875518672
5,0.7918367346938775
5,0.7773279352226721
5,0.8286852589641435
5,0.8
5,0.8148148148148148
5,0.7583333333333333
5,0.8244897959183674
5,0.7966804979253111
5,0.7457627118644068
5,0.7768595041322314
5,0.8048780487804879
5,0.8458498023715415
5,0.7654320987654321
5,0.8016194331983806
5,0.7901234567901234
5,0.8032786885245902
5,0.7818930041152263
5,0.8097165991902834
5,0.7467811158798283
5,0.7966804979253111
5,0.8503937007874016
5,0.8294573643410853
5,0.8016194331983806
10,0.8455284552845529
10,0.8387096774193549
10,0.773109243697479
10,0.7868852459016393
10,0.8188976377952756
10,0.7521367521367521
10,0.8225806451612904
10,0.7906976744186046
10,0.8130081300813008
10,0.8253968253968254
10,0.8503937007874016
10,0.7413793103448276
10,0.8292682926829268
10,0.875
10,0.848
10,0.7868852459016393
10,0.7666666666666667
10,0.8062015503875969
10,0.8292682926829268
10,0.7642276422764228
10,0.8099173553719008
10,0.8064516129032258
10,0.7521367521367521
10,0.8615384615384616
10,0.8412698412698413
10,0.8412698412698413
10,0.816
10,0.7457627118644068
10,0.816
10,0.6956521739130435
10,0.7142857142857143
10,0.7563025210084033
10,0.8
10,0.7704918032786885
10,0.8661417322834646
10,0.832
10,0.7933884297520661
10,0.8372093023255814
10,0.8
10,0.7833333333333333
10,0.832
10,0.8099173553719008
10,0.84375
10,0.7833333333333333
10,0.7804878048780488
10,0.7479674796747967
10,0.816
10,0.7563025210084033
10,0.8031496062992126
10,0.873015873015873
10,0.8264462809917356
10,0.782608695652174
10,0.8099173553719008
10,0.8166666666666667
10,0.7692307692307693
10,0.8421052631578947
10,0.7333333333333333
10,0.8
10,0.8372093023255814
10,0.8292682926829268
10,0.8455284552845529
10,0.8
10,0.864
10,0.7899159663865546
10,0.816
10,0.7226890756302521
10,0.8099173553719008
10,0.8130081300813008
10,0.773109243697479
10,0.7967479674796748
10,0.7899159663865546
10,0.7603305785123967
10,0.75
10,0.816
10,0.873015873015873
10,0.7868852459016393
10,0.8292682926829268
10,0.8702290076335878
10,0.7540983606557377
10,0.7804878048780488
10,0.773109243697479
10,0.8253968253968254
10,0.8032786885245902
10,0.8
10,0.819672131147541
10,0.773109243697479
10,0.7768595041322314
10,0.8032786885245902
10,0.7692307692307693
10,0.8661417322834646
10,0.7603305785123967
10,0.7719298245614035
10,0.7796610169491526
10,0.8130081300813008
10,0.816
10,0.8412698412698413
10,0.8507462686567164
10,0.7804878048780488
10,0.8032786885245902
10,0.7868852459016393
