k,max_depth,f1_score
3,3,0.02510460251046025
3,3,0.01680672268907563
3,3,0.025210084033613446
3,3,0.008438818565400843
3,3,0.03333333333333333
3,3,0.025210084033613446
3,3,0.03333333333333333
3,3,0.01680672268907563
3,3,0.03347280334728033
3,3,0.01680672268907563
3,3,0.02510460251046025
3,3,0.041666666666666664
3,3,0.049586776859504134
3,3,0.03333333333333333
3,3,0.016877637130801686
3,3,0.008438818565400843
3,3,0.03333333333333333
3,3,0.03347280334728033
3,3,0.02510460251046025
3,3,0.03333333333333333
3,3,0.04149377593360996
3,3,0.03333333333333333
3,3,0.01680672268907563
3,3,0.025210084033613446
3,3,0.05761316872427984
3,3,0.03333333333333333
3,3,0.041666666666666664
3,3,0.04149377593360996
3,3,0.03333333333333333
3,3,0.025210084033613446
3,5,0.3835616438356164
3,5,0.44224422442244227
3,5,0.3877551020408163
3,5,0.3945578231292517
3,5,0.4013377926421405
3,5,0.3737024221453287
3,5,0.3298245614035088
3,5,0.3262411347517731
3,5,0.429042904290429
3,5,0.27106227106227104
3,5,0.3541666666666667
3,5,0.4838709677419355
3,5,0.4318936877076412
3,5,0.3822525597269625
3,5,0.3333333333333333
3,5,0.4
3,5,0.3890784982935154
3,5,0.4161073825503356
3,5,0.3877551020408163
3,5,0.3202846975088968
3,5,0.39464882943143814
3,5,0.3356643356643357
3,5,0.2898550724637681
3,5,0.3737024221453287
3,5,0.36551724137931035
3,5,0.3321554770318021
3,5,0.4214046822742475
3,5,0.3321554770318021
3,5,0.37966101694915255
3,5,0.37800687285223367
3,None,0.7551020408163265
3,None,0.7880299251870324
3,None,0.782608695652174
3,None,0.8029197080291971
3,None,0.7872860635696821
3,None,0.7841191066997518
3,None,0.7961165048543689
3,None,0.8252427184466019
3,None,0.7305699481865285
3,None,0.7493540051679587
3,None,0.7960687960687961
3,None,0.800982800982801
3,None,0.8210023866348448
3,None,0.7704081632653061
3,None,0.8009950248756219
3,None,0.7780548628428927
3,None,0.7772277227722773
3,None,0.831353919239905
3,None,0.7890818858560794
3,None,0.7324675324675325
3,None,0.77
3,None,0.7525252525252525
3,None,0.7480519480519481
3,None,0.8162291169451074
3,None,0.7611940298507462
3,None,0.7931034482758621
3,None,0.7980295566502463
3,None,0.7467362924281984
3,None,0.8368794326241135
3,None,0.7980295566502463
5,3,0.041666666666666664
5,3,0.014084507042253521
5,3,0.041666666666666664
5,3,0.013986013986013986
5,3,0.041379310344827586
5,3,0.014084507042253521
5,3,0.027972027972027972
5,3,0.05517241379310345
5,3,0.027777777777777776
5,3,0.013986013986013986
5,3,0.014084507042253521
5,3,0.027972027972027972
5,3,0.014084507042253521
5,3,0.027777777777777776
5,3,0.0547945205479452
5,3,0.0
5,3,0.0
5,3,0.05517241379310345
5,3,0.013986013986013986
5,3,0.041379310344827586
5,3,0.027972027972027972
5,3,0.041666666666666664
5,3,0.014084507042253521
5,3,0.041379310344827586
5,3,0.013986013986013986
5,3,0.014084507042253521
5,3,0.014084507042253521
5,3,0.014084507042253521
5,3,0.041379310344827586
5,3,0.041379310344827586
5,3,0.027972027972027972
5,3,0.027972027972027972
5,3,0.041666666666666664
5,3,0.013986013986013986
5,3,0.013986013986013986
5,3,0.041666666666666664
5,3,0.05517241379310345
5,3,0.014084507042253521
5,3,0.027777777777777776
5,3,0.013986013986013986
5,3,0.0
5,3,0.041666666666666664
5,3,0.027972027972027972
5,3,0.041379310344827586
5,3,0.0547945205479452
5,3,0.027972027972027972
5,3,0.014084507042253521
5,3,0.027972027972027972
5,3,0.013986013986013986
5,3,0.06802721088435375
5,5,0.44808743169398907
5,5,0.3699421965317919
5,5,0.45054945054945056
5,5,0.3583815028901734
5,5,0.31952662721893493
5,5,0.2909090909090909
5,5,0.4973544973544973
5,5,0.367816091954023
5,5,0.3391812865497076
5,5,0.3583815028901734
5,5,0.30120481927710846
5,5,0.39325842696629215
5,5,0.33136094674556216
5,5,0.44808743169398907
5,5,0.3372093023255814
5,5,0.2787878787878788
5,5,0.3699421965317919
5,5,0.38857142857142857
5,5,0.3657142857142857
5,5,0.48936170212765956
5,5,0.44808743169398907
5,5,0.3977272727272727
5,5,0.45054945054945056
5,5,0.384180790960452
5,5,0.4111111111111111
5,5,0.3793103448275862
5,5,0.38857142857142857
5,5,0.3977272727272727
5,5,0.3372093023255814
5,5,0.38636363636363635
5,5,0.30952380952380953
5,5,0.2804878048780488
5,5,0.2804878048780488
5,5,0.3488372093023256
5,5,0.4134078212290503
5,5,0.3391812865497076
5,5,0.4245810055865922
5,5,0.26993865030674846
5,5,0.48936170212765956
5,5,0.43478260869565216
5,5,0.30120481927710846
5,5,0.3488372093023256
5,5,0.32142857142857145
5,5,0.45652173913043476
5,5,0.4022346368715084
5,5,0.26993865030674846
5,5,0.3699421965317919
5,5,0.4245810055865922
5,5,0.4044943820224719
5,5,0.3563218390804598
5,None,0.8211382113821138
5,None,0.7800829875518672
5,None,0.7627118644067796
5,None,0.8192771084337349
5,None,0.7918367346938775
5,None,0.773109243697479
5,None,0.8433734939759037
5,None,0.7950819672131147
5,None,0.7603305785123967
5,None,0.7951807228915663
5,None,0.824
5,None,0.8097165991902834
5,None,0.8433734939759037
5,None,0.768595041322314
5,None,0.7148936170212766
5,None,0.7248908296943232
5,None,0.7883817427385892
5,None,0.8503937007874016
5,None,0.8145161290322581
5,None,0.792
5,None,0.7983870967741935
5,None,0.7983539094650206
5,None,0.7679324894514767
5,None,0.7768595041322314
5,None,0.8273092369477911
5,None,0.7932489451476793
5,None,0.7800829875518672
5,None,0.7918367346938775
5,None,0.7773279352226721
5,None,0.8286852589641435
5,None,0.8
5,None,0.8148148148148148
5,None,0.7583333333333333
5,None,0.8244897959183674
5,None,0.7966804979253111
5,None,0.7457627118644068
5,None,0.7768595041322314
5,None,0.8048780487804879
5,None,0.8458498023715415
5,None,0.7654320987654321
5,None,0.8016194331983806
5,None,0.7901234567901234
5,None,0.8032786885245902
5,None,0.7818930041152263
5,None,0.8097165991902834
5,None,0.7467811158798283
5,None,0.7966804979253111
5,None,0.8503937007874016
5,None,0.8294573643410853
5,None,0.8016194331983806
10,3,0.0821917808219178
10,3,0.0
10,3,0.0
10,3,0.0547945205479452
10,3,0.0
10,3,0.027777777777777776
10,3,0.0
10,3,0.0
10,3,0.027777777777777776
10,3,0.027777777777777776
10,3,0.028169014084507043
10,3,0.05555555555555555
10,3,0.05555555555555555
10,3,0.027777777777777776
10,3,0.027777777777777776
10,3,0.027777777777777776
10,3,0.0
10,3,0.0
10,3,0.0
10,3,0.0
10,3,0.0
10,3,0.0
10,3,0.05555555555555555
10,3,0.08108108108108109
10,3,0.027777777777777776
10,3,0.0
10,3,0.0
10,3,0.0547945205479452
10,3,0.027777777777777776
10,3,0.0547945205479452
10,3,0.0
10,3,0.0
10,3,0.0
10,3,0.027777777777777776
10,3,0.0547945205479452
10,3,0.027777777777777776
10,3,0.0
10,3,0.10666666666666667
10,3,0.027777777777777776
10,3,0.027777777777777776
10,3,0.05555555555555555
10,3,0.028169014084507043
10,3,0.028169014084507043
10,3,0.0547945205479452
10,3,0.0
10,3,0.027777777777777776
10,3,0.0
10,3,0.027777777777777776
10,3,0.0
10,3,0.027777777777777776
10,3,0.028169014084507043
10,3,0.028169014084507043
10,3,0.0
10,3,0.0547945205479452
10,3,0.027777777777777776
10,3,0.0
10,3,0.08108108108108109
10,3,0.0
10,3,0.0
